date,position,city,state,endorser,endorsee,endorser party,source,order,category,body,district,points
,senator,,MI,Gary C. Peters,,D,,,Senators,,,6
,senator,,MA,Elizabeth Warren,,D,,,Senators,,,6
,senator,,MD,Chris Van Hollen,,D,,,Senators,,,6
,senator,,MD,Benjamin L. Cardin,,D,,,Senators,,,6
,senator,,ME,Angus S. King Jr.,,I,,,Senators,,,6
,senator,,HI,Brian Schatz,,D,,,Senators,,,6
,senator,,HI,Mazie K. Hirono,,D,,,Senators,,,6
,senator,,CT,Christopher Murphy,,D,,,Senators,,,6
,senator,,CT,Richard Blumenthal,,D,,,Senators,,,6
,senator,,CO,Michael Bennet,,D,,,Senators,,,6
,governor,,WI,Tony Evers,,D,,,Governors,,,8
,governor,,WA,Jay Inslee,,D,,,Governors,,,8
,governor,,VA,Ralph Northam,,D,,,Governors,,,8
,governor,,VI,Albert Bryan Jr,,D,,,Governors,,,8
,governor,,PR,Wanda Vázquez Garced,,,,,Governors,,,8
,governor,,PA,Tom Wolf,,D,,,Governors,,,8
,governor,,OR,Kate Brown,,D,,,Governors,,,8
,governor,,NC,Roy Cooper,,D,,,Governors,,,8
,governor,,NM,Michelle Lujan Grisham,,D,,,Governors,,,8
,governor,,NV,Steve Sisolak,,D,,,Governors,,,8
,governor,,MT,Steve Bullock,,D,,,Governors,,,8
,governor,,ME,Janet Mills,,D,,,Governors,,,8
,governor,,LA,John Bel Edwards,,D,,,Governors,,,8
,governor,,KY,Andy Beshear,,D,,,Governors,,,8
,governor,,KS,Laura Kelly,,D,,,Governors,,,8
,governor,,HI,David Ige,,D,,,Governors,,,8
,governor,,GU,Lou Leon Guerrero,,D,,,Governors,,,8
,governor,,CO,Jared Polis,,D,,,Governors,,,8
,governor,,AS,Lolo Matalasi Moliga,,D,,,Governors,,,8
,past vice president,,TN,Al Gore,,D,,,Past presidents and vice presidents,,,10
,past president,,NY,Bill Clinton,,D,,,Past presidents and vice presidents,,,10
,past president,,IL,Barack Obama,,D,,,Past presidents and vice presidents,,,10
,past president,,GA,Jimmy Carter,,D,,,Past presidents and vice presidents,,,10
,U.S. Senate minority leader,,NY,Charles E. Schumer,,D,,,Current party leaders,,,10
,DNC chair,,MD,Tom Perez,,D,,,Current party leaders,,,10
,U.S. House majority leader,,MD,Steny Hoyer,,D,,,Current party leaders,,,10
,U.S. House speaker,,CA,Nancy Pelosi,,D,,,Current party leaders,,,10
,president pro tem,,WA,Karen Keiser,,D,,,State legislative leaders,Senate,,2
,minority leader,,WV,Tim Miley,,D,,,State legislative leaders,House,,2
,minority leader,,WV,Roman Prezioso,,D,,,State legislative leaders,Senate,,2
,minority leader,,WY,Cathy Connolly,,D,,,State legislative leaders,House,,2
,minority leader,,WY,Chris Rothfuss,,D,,,State legislative leaders,Senate,,2
,secretary of state,,AZ,Katie Hobbs,,D,,8,Statewide officeholders,,,2
,superintendent of public instruction,,AZ,Kathy Hoffman,,D,,11,Statewide officeholders,,,2
,attorney general,,CA,Xavier Becerra,,D,,21,Statewide officeholders,,,2
,lieutenant governor,,CO,Dianne Primavera,,D,,26,Statewide officeholders,,,2
,secretary of state,,CO,Jena Griswold,,D,,27,Statewide officeholders,,,2
,state treasurer,,CO,Dave Young,,D,,29,Statewide officeholders,,,2
,state treasurer,,CT,Shawn Wooden,,D,,32,Statewide officeholders,,,2
,attorney general,,CT,William Tong,,D,,33,Statewide officeholders,,,2
,lieutenant governor,,DE,Bethany Hall-Long,,D,,35,Statewide officeholders,,,2
,state treasurer,,DE,Colleen Davis,,D,,37,Statewide officeholders,,,2
,auditor of accounts,,DE,Kathleen McGuiness,,D,,38,Statewide officeholders,,,2
,commissioner of insurance,,DE,Trinidad Navarro,,D,,39,Statewide officeholders,,,2
,lieutenant governor,,HI,Josh Green,,D,,51,Statewide officeholders,,,2
,lieutenant governor,,IL,Juliana Stratton,,D,,58,Statewide officeholders,,,2
,state auditor,,IA,Rob Sand,,D,,73,Statewide officeholders,,,2
,lieutenant governor,,KS,Lynn Rogers,,D,,75,Statewide officeholders,,,2
,lieutenant governor,,KY,Jacqueline Coleman,,D,,80,Statewide officeholders,,,2
,secretary of the commonwealth,,MA,Bill Galvin,,D,,96,Statewide officeholders,,,2
,state treasurer and receiver-general,,MA,Deborah Goldberg,,D,,98,Statewide officeholders,,,2
,secretary of state,,MI,Jocelyn Benson,,D,,101,Statewide officeholders,,,2
,attorney general,,MI,Dana Nessel,,D,,102,Statewide officeholders,,,2
,secretary of state,,MN,Steve Simon,,D,,104,Statewide officeholders,,,2
,lieutenant governor,,MT,Mike Cooney,,D,,119,Statewide officeholders,,,2
,attorney general,,NV,Aaron Ford,,D,,131,Statewide officeholders,,,2
,state treasurer,,NV,Zach Conine,,D,,132,Statewide officeholders,,,2
,lieutenant governor,,NM,Howie Morales,,D,,135,Statewide officeholders,,,2
,secretary of state,,NM,Maggie Toulouse Oliver,,D,,136,Statewide officeholders,,,2
,attorney general,,NM,Hector Balderas,,D,,137,Statewide officeholders,,,2
,state treasurer,,NM,Tim Eichenberg,,D,,138,Statewide officeholders,,,2
,state auditor,,NM,Brian Colón,,D,,139,Statewide officeholders,,,2
,commissioner of public lands,,NM,Stephanie Garcia Richard,,D,,140,Statewide officeholders,,,2
,lieutenant governor,,NY,Kathy Hochul,,D,,141,Statewide officeholders,,,2
,attorney general,,NY,Letitia James,,D,,142,Statewide officeholders,,,2
,state comptroller,,NY,Thomas DiNapoli,,D,,143,Statewide officeholders,,,2
,secretary of state,,NC,Elaine Marshall,,D,,145,Statewide officeholders,,,2
,attorney general,,NC,Josh Stein,,D,,146,Statewide officeholders,,,2
,state auditor,,NC,Beth Wood,,D,,148,Statewide officeholders,,,2
,attorney general,,OR,Ellen Rosenblum,,D,,174,Statewide officeholders,,,2
,state treasurer,,OR,Tobias Read,,D,,175,Statewide officeholders,,,2
,lieutenant governor,,PA,John Fetterman,,D,,177,Statewide officeholders,,,2
,auditor general,,PA,Eugene DePasquale,,D,,180,Statewide officeholders,,,2
,secretary of state,,RI,Nellie Gorbea,,D,,182,Statewide officeholders,,,2
,attorney general,,RI,Peter Neronha,,D,,183,Statewide officeholders,,,2
,general treasurer,,RI,Seth Magaziner,,D,,184,Statewide officeholders,,,2
,secretary of state,,VT,Jim Condos,,D,,208,Statewide officeholders,,,2
,lieutenant governor,,VA,Justin Fairfax,,D,,212,Statewide officeholders,,,2
,attorney general,,VA,Mark Herring,,D,,213,Statewide officeholders,,,2
,state auditor,,WA,Pat McCarthy,,D,,218,Statewide officeholders,,,2
,insurance commissioner,,WA,Mike Kreidler,,D,,219,Statewide officeholders,,,2
,superintendent of public instruction,,WA,Chris Reykdal,,D,,221,Statewide officeholders,,,2
,state treasurer,,WV,John Perdue,,D,,224,Statewide officeholders,,,2
,lieutenant governor,,WI,Mandela Barnes,,D,,227,Statewide officeholders,,,2
,secretary of state,,WI,Doug La Follette,,D,,228,Statewide officeholders,,,2
,state treasurer,,WI,Sarah Godlewski,,D,,229,Statewide officeholders,,,2
,attorney general,,WI,Josh Kaul,,D,,230,Statewide officeholders,,,2
,superintendent of public instruction,,WI,Carolyn Stanford Taylor,,D,,231,Statewide officeholders,,,2
,attorney general,,GU,Leevin T. Camacho,,,,237,Statewide officeholders,,,2
,lieutenant governor,,GU,Joshua Tenorio,,D,,238,Statewide officeholders,,,2
,attorney general,,MP,Edward Manibusan,,,,239,Statewide officeholders,,,2
,lieutenant governor,,AS,Lemanu Palepoi S. Mauga,,D,,241,Statewide officeholders,,,2
,lieutenant governor,,VI,Tregenza Roach,,D,,242,Statewide officeholders,,,2
,public auditor,,GU,Benjamin Cruz,,D,,243,Statewide officeholders,,,2
,DNC member,,AL,Clinton M. Daughtrey,,D,,,DNC members,,,1
,DNC member,,AL,Christopher England,,D,,,DNC members,,,1
,DNC member,,AL,Unzell Kelley,,D,,,DNC members,,,1
,DNC member,,AL,Janet May,,D,,,DNC members,,,1
,DNC member,,AL,Charlie Lethate Staten,,D,,,DNC members,,,1
,DNC member,,AL,Patricia A. Todd,,D,,,DNC members,,,1
,DNC member,,AK,Chuck Degnan,,D,,,DNC members,,,1
,DNC member,,AK,Sheila A. Selkregg,,D,,,DNC members,,,1
,DNC member,,AK,Casey Steinau,,D,,,DNC members,,,1
,DNC member,,AK,Edward Wesley,,D,,,DNC members,,,1
,DNC member,,AS,Marcus Langkilde,,D,,,DNC members,,,1
,DNC member,,AS,Petti Matila,,D,,,DNC members,,,1
,DNC member,,AS,Aliitama Soto'a,,D,,,DNC members,,,1
,DNC member,,AS,Minnie Tuia,,D,,,DNC members,,,1
,DNC member,,AZ,Douglas Ballard,,D,,,DNC members,,,1
,DNC member,,AZ,William Patrick Burns,,D,,,DNC members,,,1
,DNC member,,AZ,Adrian Fontes,,D,,,DNC members,,,1
,DNC member,,AZ,Luis Alberto Heredia,,D,,,DNC members,,,1
,DNC member,,AZ,Ellie Perez,,D,,,DNC members,,,1
,DNC member,,AZ,Felecia Rotellini,,D,,,DNC members,,,1
,DNC member,,AZ,Sierra Yamanaka,,D,,,DNC members,,,1
,DNC member,,AR,Michael John Gray,,D,,,DNC members,,,1
,DNC member,,AR,Nicole Hart,,D,,,DNC members,,,1
,DNC member,,AR,Dustin McDaniel,,D,,,DNC members,,,1
,DNC member,,AR,Lottie Shackelford,,D,,,DNC members,,,1
,DNC member,,AR,Kasey Summerville,,D,,,DNC members,,,1
,DNC member,,CA,Steven K. Alari,,D,,,DNC members,,,1
,DNC member,,CA,Becca Doten,,D,,,DNC members,,,1
,DNC member,,CA,Jesse L. Durfee,,D,,,DNC members,,,1
,DNC member,,CA,Mary Ellen Early,,D,,,DNC members,,,1
,DNC member,,CA,Rusty Hicks,,D,,,DNC members,,,1
,DNC member,,CA,Alice A. Huffman,,D,,,DNC members,,,1
,DNC member,,CA,Aleita J. Huguenin,,D,,,DNC members,,,1
,DNC member,,CA,Lorna M. Johnson,,D,,,DNC members,,,1
,DNC member,,CA,Michael Kapp,,D,,,DNC members,,,1
,DNC member,,CA,Andrew Lachman,,D,,,DNC members,,,1
,DNC member,,CA,Otto O. Lee,,D,,,DNC members,,,1
,DNC member,,CA,Sandra M. Lowe,,D,,,DNC members,,,1
,DNC member,,CA,Christine Pelosi,,D,,,DNC members,,,1
,DNC member,,CA,Melahat Rafiei,,D,,,DNC members,,,1
,DNC member,,CA,Garry S. Shay,,D,,,DNC members,,,1
,DNC member,,CA,Keith Umemoto,,D,,,DNC members,,,1
,DNC member,,CA,Rosalind Wyman,,D,,,DNC members,,,1
,DNC member,,CA,Laurence S. Zakson,,D,,,DNC members,,,1
,DNC member,,CO,Morgan Carroll,,D,,,DNC members,,,1
,DNC member,,CO,Howard Chou,,D,,,DNC members,,,1
,DNC member,,CO,Michael F. Hamrick,,D,,,DNC members,,,1
,DNC member,,CT,Nancy DiNardo,,D,,,DNC members,,,1
,DNC member,,CT,John W. Olsen,,D,,,DNC members,,,1
,DNC member,,CT,Erick Russell,,D,,,DNC members,,,1
,DNC member,,CT,Joanne L. Sullivan,,D,,,DNC members,,,1
,DNC member,,CT,Nancy Wyman,,D,,,DNC members,,,1
,DNC member,,DE,Sean Finnigan,,D,,,DNC members,,,1
,DNC member,,DE,Kerri Evelyn Harris,,D,,,DNC members,,,1
,DNC member,,DE,Valerie Longhurst,,D,,,DNC members,,,1
,DNC member,,DE,Elizabeth D. Maron,,D,,,DNC members,,,1
,DNC member,,DE,Erik Raser-Schramm,,D,,,DNC members,,,1
,DNC member,,DA,Connie Borde,,D,,,DNC members,,,1
,DNC member,,DA,Julia Bryan,,D,,,DNC members,,,1
,DNC member,,DA,John A. Eastwood,,D,,,DNC members,,,1
,DNC member,,DA,Adrianne R. George,,D,,,DNC members,,,1
,DNC member,,DA,Martha McDevitt-Pugh,,D,,,DNC members,,,1
,DNC member,,DA,Alex Montgomery,,D,,,DNC members,,,1
,DNC member,,DA,Kenneth E. Sherman,,D,,,DNC members,,,1
,DNC member,,DA,Orlando E. Vidal,,D,,,DNC members,,,1
,DNC member,,DC,James Joseph Boland,,D,,,DNC members,,,1
,DNC member,,DC,Calla R. Brown,,D,,,DNC members,,,1
,DNC member,,DC,Roxanne D. Brown,,D,,,DNC members,,,1
,DNC member,,DC,Maria Cardona,,D,,,DNC members,,,1
,DNC member,,DC,J. David Cox,,D,,,DNC members,,,1
,DNC member,,DC,Leah Daughtry,,D,,,DNC members,,,1
,DNC member,,DC,Joanne Dowdell,,D,,,DNC members,,,1
,DNC member,,DC,Earl D. Fowlkes Jr.,,D,,,DNC members,,,1
,DNC member,,DC,Lily L. Eskelsen Garcia,,D,,,DNC members,,,1
,DNC member,,DC,Linda L. Gray,,D,,,DNC members,,,1
,DNC member,,DC,Harold Ickes,,D,,,DNC members,,,1
,DNC member,,DC,Claire Lucas,,D,,,DNC members,,,1
,DNC member,,DC,Silvia J. Martinez,,D,,,DNC members,,,1
,DNC member,,DC,Minyon Moore,,D,,,DNC members,,,1
,DNC member,,DC,Carol J. Pensky,,D,,,DNC members,,,1
,DNC member,,DC,Carrie Pugh,,D,,,DNC members,,,1
,DNC member,,DC,Steve Regenstreif,,D,,,DNC members,,,1
,DNC member,,DC,Lee A. Saunders,,D,,,DNC members,,,1
,DNC member,,DC,Rick C. Wade,,D,,,DNC members,,,1
,DNC member,,DC,Charles E. Wilson,,D,,,DNC members,,,1
,DNC member,,FL,Dwight Bullard,,D,,,DNC members,,,1
,DNC member,,FL,Cynthia M. Busch,,D,,,DNC members,,,1
,DNC member,,FL,Grace Carrington,,D,,,DNC members,,,1
,DNC member,,FL,Briana L. Cartwright,,D,,,DNC members,,,1
,DNC member,,FL,Alan R. Clendenin,,D,,,DNC members,,,1
,DNC member,,FL,Ken N. Evans,,D,,,DNC members,,,1
,DNC member,,FL,Alma R. Gonzalez,,D,,,DNC members,,,1
,DNC member,,FL,Mikaela Guido,,D,,,DNC members,,,1
,DNC member,,FL,Shawn W. Kinsey,,D,,,DNC members,,,1
,DNC member,,FL,Judy C. Mount,,D,,,DNC members,,,1
,DNC member,,FL,John A. Ramos,,D,,,DNC members,,,1
,DNC member,,FL,Terrie Lorraine Rizzo,,D,,,DNC members,,,1
,DNC member,,FL,Casmore Shaw,,D,,,DNC members,,,1
,DNC member,,FL,Craig Smith,,D,,,DNC members,,,1
,DNC member,,GA,Wendy Davis,,D,,,DNC members,,,1
,DNC member,,GA,Daniel J. Halpern,,D,,,DNC members,,,1
,DNC member,,GA,Sheikh M. Rahman,,D,,,DNC members,,,1
,DNC member,,GA,Richard A. Ray,,D,,,DNC members,,,1
,DNC member,,GA,Sally S. Rosser,,D,,,DNC members,,,1
,DNC member,,GA,Nikema Williams,,D,,,DNC members,,,1
,DNC member,,GU,Jon Junior Calvo,,D,,,DNC members,,,1
,DNC member,,GU,Regine Biscoe Lee,,D,,,DNC members,,,1
,DNC member,,GU,Rory Respicio,,D,,,DNC members,,,1
,DNC member,,GU,Taling Taitano,,D,,,DNC members,,,1
,DNC member,,HI,Bart E. Dame,,D,,,DNC members,,,1
,DNC member,,HI,Gary Hooser,,D,,,DNC members,,,1
,DNC member,,HI,Jadine Nielsen,,D,,,DNC members,,,1
,DNC member,,HI,Kathleen G. Stanley,,D,,,DNC members,,,1
,DNC member,,ID,Evangeline M. Beechler,,D,,,DNC members,,,1
,DNC member,,ID,Susan S. Eastlake,,D,,,DNC members,,,1
,DNC member,,ID,Paulette Jordan,,D,,,DNC members,,,1
,DNC member,,ID,Jesse Maldonado,,D,,,DNC members,,,1
,DNC member,,ID,Jerry C. Shriner,,D,,,DNC members,,,1
,DNC member,,IL,Carrie Austin,,D,,,DNC members,,,1
,DNC member,,IL,Jerry F. Costello,,D,,,DNC members,,,1
,DNC member,,IL,John J. Cullerton,,D,,,DNC members,,,1
,DNC member,,IL,Daniel W. Hynes,,D,,,DNC members,,,1
,DNC member,,IL,Jayne Mazzotti,,D,,,DNC members,,,1
,DNC member,,IL,Karen A. Yarbrough,,D,,,DNC members,,,1
,DNC member,,IN,David A. Frye,,D,,,DNC members,,,1
,DNC member,,IN,Cindy S. Henry,,D,,,DNC members,,,1
,DNC member,,IN,Cordelia M. Lewis-Burks,,D,,,DNC members,,,1
,DNC member,,IN,S. Anthony Long,,D,,,DNC members,,,1
,DNC member,,IN,John C. Zody,,D,,,DNC members,,,1
,DNC member,,IA,Scott M. Brennan,,D,,,DNC members,,,1
,DNC member,,IA,June Owens,,D,,,DNC members,,,1
,DNC member,,KS,Vicki Hiatt,,D,,,DNC members,,,1
,DNC member,,KS,Brandon Johnson,,D,,,DNC members,,,1
,DNC member,,KS,Teresa Garcia Krusor,,D,,,DNC members,,,1
,DNC member,,KS,Christopher T. Reeves,,D,,,DNC members,,,1
,DNC member,,KY,Cassie Chambers Armstrong,,D,,,DNC members,,,1
,DNC member,,KY,Charlotte Lundergan,,D,,,DNC members,,,1
,DNC member,,KY,Ben Self,,D,,,DNC members,,,1
,DNC member,,KY,Nathan Gene Smith,,D,,,DNC members,,,1
,DNC member,,LA,Deborah J. Langhoff,,D,,,DNC members,,,1
,DNC member,,LA,Michael McHale,,D,,,DNC members,,,1
,DNC member,,LA,Arthur Morrell,,D,,,DNC members,,,1
,DNC member,,LA,Karen Carter Peterson,,D,,,DNC members,,,1
,DNC member,,ME,Diane M. Denk,,D,,,DNC members,,,1
,DNC member,,ME,Erik Gundersen,,D,,,DNC members,,,1
,DNC member,,ME,Kathleen Marra,,D,,,DNC members,,,1
,DNC member,,MD,Maria C. Cordone,,D,,,DNC members,,,1
,DNC member,,MD,Tefere Gebre,,D,,,DNC members,,,1
,DNC member,,MD,Cheryl Landis,,D,,,DNC members,,,1
,DNC member,,MD,Bel W. Leong-Hong,,D,,,DNC members,,,1
,DNC member,,MD,Yvette W. Lewis,,D,,,DNC members,,,1
,DNC member,,MD,Robert Martinez Jr.,,D,,,DNC members,,,1
,DNC member,,MD,Cory V. McCray,,D,,,DNC members,,,1
,DNC member,,MD,Glenard S. Middleton,,D,,,DNC members,,,1
,DNC member,,MD,Gregory Pecoraro,,D,,,DNC members,,,1
,DNC member,,MD,Marc Perrone,,D,,,DNC members,,,1
,DNC member,,MD,Kenneth Rigmaiden,,D,,,DNC members,,,1
,DNC member,,MA,Gus Bickford,,D,,,DNC members,,,1
,DNC member,,MA,Elaine C. Kamarck,,D,,,DNC members,,,1
,DNC member,,MA,Debra Kozikowski,,D,,,DNC members,,,1
,DNC member,,MA,David M. O'Brien,,D,,,DNC members,,,1
,DNC member,,MA,Melvin Poindexter,,D,,,DNC members,,,1
,DNC member,,MA,James Roosevelt Jr.,,D,,,DNC members,,,1
,DNC member,,MA,Susan Thomson,,D,,,DNC members,,,1
,DNC member,,MI,Lavora R. Barnes,,D,,,DNC members,,,1
,DNC member,,MI,Scott Benson,,D,,,DNC members,,,1
,DNC member,,MI,Shauna Ryder Diggs,,D,,,DNC members,,,1
,DNC member,,MI,Cindy Estrada,,D,,,DNC members,,,1
,DNC member,,MI,Paula Herbart,,D,,,DNC members,,,1
,DNC member,,MI,Gerald Kariem,,D,,,DNC members,,,1
,DNC member,,MI,Daryl Newman,,D,,,DNC members,,,1
,DNC member,,MI,Virgie M. Rollins,,D,,,DNC members,,,1
,DNC member,,MN,J.P. Barone,,D,,,DNC members,,,1
,DNC member,,MN,Debbie Goettel,,D,,,DNC members,,,1
,DNC member,,MN,Ron Harris,,D,,,DNC members,,,1
,DNC member,,MN,Marge Hoffa,,D,,,DNC members,,,1
,DNC member,,MN,Ken Martin,,D,,,DNC members,,,1
,DNC member,,MN,Lori A. Sellner,,D,,,DNC members,,,1
,DNC member,,MN,Elly Zaragoza,,D,,,DNC members,,,1
,DNC member,,MS,Rae Shawn Davis,,D,,,DNC members,,,1
,DNC member,,MS,Bobby Moak,,D,,,DNC members,,,1
,DNC member,,MS,Vicki R. Slater,,D,,,DNC members,,,1
,DNC member,,MO,Jean Peters Baker,,D,,,DNC members,,,1
,DNC member,,MO,Persephone Dakopolos,,D,,,DNC members,,,1
,DNC member,,MO,Mary S. Jenks,,D,,,DNC members,,,1
,DNC member,,MO,Clem Smith,,D,,,DNC members,,,1
,DNC member,,MO,Ethan Smith,,D,,,DNC members,,,1
,DNC member,,MO,Brian Wahby,,D,,,DNC members,,,1
,DNC member,,MT,Max Croes,,D,,,DNC members,,,1
,DNC member,,MT,Jean Lemire Dahlman,,D,,,DNC members,,,1
,DNC member,,MT,Robyn Driscoll,,D,,,DNC members,,,1
,DNC member,,MT,Jorge Quintana,,D,,,DNC members,,,1
,DNC member,,NE,Ron Kaminski,,D,,,DNC members,,,1
,DNC member,,NE,Jane Erin Fleming Kleeb,,D,,,DNC members,,,1
,DNC member,,NE,Richard Register,,D,,,DNC members,,,1
,DNC member,,NE,Patricia A. Zieg,,D,,,DNC members,,,1
,DNC member,,NV,Artie Blanco,,D,,,DNC members,,,1
,DNC member,,NV,William McCurdy II,,D,,,DNC members,,,1
,DNC member,,NV,Marty McGarry,,D,,,DNC members,,,1
,DNC member,,NV,Sonja Whitten,,D,,,DNC members,,,1
,DNC member,,NH,Raymond C. Buckley II,,D,,,DNC members,,,1
,DNC member,,NJ,Tonio Burgos,,D,,,DNC members,,,1
,DNC member,,NJ,Marcia Marley,,D,,,DNC members,,,1
,DNC member,,NM,Marg Elliston,,D,,,DNC members,,,1
,DNC member,,NM,Joni Marie Gutierrez,,D,,,DNC members,,,1
,DNC member,,NM,Marcus Porter,,D,,,DNC members,,,1
